data:983.53,984.38,250.42,243.18
data:983.51,984.35,250.60,243.43
data:983.53,984.35,250.42,243.43
data:983.53,984.27,250.42,244.11
data:983.54,984.27,250.34,244.11
data:983.51,984.27,250.60,244.11
data:983.53,984.30,250.42,243.86
data:983.51,984.30,250.60,243.86
data:983.53,984.27,250.42,244.11
data:983.54,984.27,250.34,244.11
data:983.54,984.27,250.34,244.11
data:983.52,984.34,250.51,243.52
data:983.53,984.34,250.42,243.52
data:983.55,984.27,250.26,244.11
data:983.55,984.27,250.26,244.11
data:983.50,984.30,250.68,243.86
data:983.53,984.33,250.42,243.60
data:983.54,984.33,250.34,243.60
data:983.54,984.27,250.34,244.11
data:983.54,984.27,250.34,244.11
data:983.56,984.30,250.17,243.86
data:983.54,984.33,250.34,243.60
data:983.54,984.33,250.34,243.60
data:983.55,984.30,250.26,243.86
data:983.55,984.30,250.26,243.86
data:983.55,984.35,250.26,243.43
data:983.55,984.33,250.26,243.60
data:983.54,984.33,250.34,243.60
data:983.57,984.33,250.08,243.60
data:983.55,984.33,250.26,243.60
data:983.54,984.35,250.34,243.43
data:983.55,984.35,250.26,243.43
data:983.54,984.35,250.34,243.43
data:983.56,984.33,250.17,243.60
data:983.53,984.33,250.42,243.60
data:983.55,984.38,250.26,243.18
data:983.53,984.35,250.42,243.43
data:983.56,984.35,250.17,243.43
data:983.59,984.29,249.91,243.95
data:983.56,984.29,250.17,243.95
data:983.54,984.33,250.34,243.60
data:983.54,984.37,250.34,243.26
data:983.55,984.37,250.26,243.26
data:983.56,984.35,250.17,243.43
data:983.55,984.35,250.26,243.43
data:983.54,984.38,250.34,243.18
data:983.57,984.45,250.08,242.58
data:983.56,984.45,250.17,242.58
data:983.58,984.35,250.00,243.43
data:983.56,984.35,250.17,243.43
data:983.56,984.29,250.17,243.95
data:983.58,984.27,250.00,244.11
data:983.56,984.27,250.17,244.11
data:983.58,984.41,250.00,242.92
data:983.56,984.41,250.17,242.92
data:983.57,984.38,250.08,243.18
data:983.57,984.41,250.08,242.92
data:983.58,984.41,250.00,242.92
data:983.58,984.38,250.00,243.18
data:983.56,984.38,250.17,243.18
data:983.57,984.29,250.08,243.95
data:983.57,984.35,250.08,243.43
data:983.58,984.35,250.00,243.43
data:983.58,984.33,250.00,243.60
data:983.55,984.33,250.26,243.60
data:983.52,984.29,250.51,243.95
data:983.51,984.33,250.60,243.60
data:983.51,984.33,250.60,243.60
data:983.48,984.33,250.85,243.60
data:983.47,984.33,250.94,243.60
data:983.45,984.33,251.11,243.60
data:983.45,984.21,251.11,244.63
data:983.42,984.21,251.36,244.63
data:983.40,984.24,251.53,244.37
data:983.38,984.24,251.70,244.37
data:983.39,984.16,251.62,245.05
data:983.40,984.19,251.53,244.80
data:983.38,984.19,251.70,244.80
data:983.39,984.16,251.62,245.05
data:983.40,984.16,251.53,245.05
data:983.36,984.16,251.87,245.05
data:983.34,984.16,252.04,245.05
data:983.34,984.16,252.04,245.05
data:983.33,984.13,252.13,245.31
data:983.29,984.13,252.47,245.31
data:983.28,984.13,252.56,245.31
data:983.25,984.03,252.81,246.16
data:983.25,984.03,252.81,246.16
data:983.24,984.08,252.90,245.73
data:983.22,984.11,253.07,245.48
data:983.19,984.11,253.33,245.48
data:983.22,983.95,253.07,246.84
data:983.20,983.95,253.24,246.84
data:983.20,984.03,253.24,246.16
data:983.20,984.03,253.24,246.16
data:983.19,984.03,253.33,246.16
data:983.20,984.05,253.24,245.99
data:983.21,984.05,253.15,245.99
data:983.20,983.97,253.24,246.67
data:983.21,984.00,253.15,246.42
data:983.18,984.00,253.41,246.42
data:983.20,984.00,253.24,246.42
data:983.17,984.00,253.49,246.42
data:983.22,983.95,253.07,246.84
data:983.20,983.95,253.24,246.84
data:983.19,983.95,253.33,246.84
data:983.19,984.00,253.33,246.42
data:983.19,984.00,253.33,246.42
data:983.20,984.00,253.24,246.42
data:983.19,983.97,253.33,246.67
data:983.21,983.97,253.15,246.67
data:983.21,983.97,253.15,246.67
data:983.21,983.97,253.15,246.67
data:983.18,984.00,253.41,246.42
data:983.22,984.00,253.07,246.42
data:983.23,984.00,252.98,246.42
data:983.20,983.97,253.24,246.67
data:983.19,983.97,253.33,246.67
data:983.19,983.92,253.33,247.10
data:983.20,983.97,253.24,246.67
data:983.22,983.97,253.07,246.67
data:983.19,983.94,253.33,246.93
data:983.21,983.94,253.15,246.93
data:983.22,983.97,253.07,246.67
data:983.20,983.97,253.24,246.67
data:983.21,983.97,253.15,246.67
data:983.21,984.03,253.15,246.16
data:983.22,984.03,253.07,246.16
data:983.23,983.89,252.98,247.35
data:983.22,983.97,253.07,246.67
data:983.25,983.97,252.81,246.67
data:983.21,983.94,253.15,246.93
data:983.23,983.94,252.98,246.93
data:983.20,984.03,253.24,246.16
data:983.22,984.02,253.07,246.25
data:983.23,984.02,252.98,246.25
data:983.21,984.03,253.15,246.16
data:983.21,984.03,253.15,246.16
data:983.21,983.94,253.15,246.93
data:983.24,983.97,252.90,246.67
data:983.21,983.97,253.15,246.67
data:983.21,984.03,253.15,246.16
data:983.22,984.03,253.07,246.16
data:983.22,983.97,253.07,246.67
data:983.21,984.00,253.15,246.42
data:983.20,984.00,253.24,246.42
data:983.19,983.94,253.33,246.93
data:983.21,983.94,253.15,246.93
data:983.20,983.97,253.24,246.67
data:983.22,984.00,253.07,246.42
data:983.22,984.00,253.07,246.42
data:983.19,984.03,253.33,246.16
data:983.21,984.03,253.15,246.16
data:983.24,984.08,252.90,245.73
data:983.22,984.03,253.07,246.16
data:983.23,984.03,252.98,246.16
data:983.24,983.94,252.90,246.93
data:983.22,983.94,253.07,246.93
data:983.20,984.00,253.24,246.42
data:983.23,984.03,252.98,246.16
data:983.23,984.03,252.98,246.16
data:983.23,984.00,252.98,246.42
data:983.24,984.00,252.90,246.42
data:983.23,984.00,252.98,246.42
data:983.23,984.08,252.98,245.73
data:983.21,984.08,253.15,245.73
data:983.23,984.05,252.98,245.99
data:983.22,984.05,253.07,245.99
data:983.22,984.02,253.07,246.25
data:983.22,984.05,253.07,245.99
data:983.23,984.05,252.98,245.99
data:983.22,983.97,253.07,246.67
data:983.24,983.97,252.90,246.67
data:983.24,983.97,252.90,246.67
data:983.24,984.02,252.90,246.25
data:983.25,984.02,252.81,246.25
data:983.22,984.04,253.07,246.07
data:983.23,984.04,252.98,246.07
data:983.25,983.99,252.81,246.50
data:983.25,983.96,252.81,246.76
data:983.24,983.96,252.90,246.76
data:983.26,984.07,252.73,245.82
data:983.23,984.07,252.98,245.82
data:983.24,984.07,252.90,245.82
data:983.22,984.07,253.07,245.82
data:983.25,984.07,252.81,245.82
data:983.24,984.07,252.90,245.82
data:983.23,984.07,252.98,245.82
data:983.23,984.09,252.98,245.65
data:983.24,984.07,252.90,245.82
data:983.20,984.07,253.24,245.82
data:983.26,984.01,252.73,246.33
data:983.25,984.01,252.81,246.33
data:983.24,984.04,252.90,246.07
data:983.25,984.09,252.81,245.65
data:983.22,984.09,253.07,245.65
data:983.24,984.09,252.90,245.65
data:983.24,984.09,252.90,245.65
data:983.23,984.12,252.98,245.39
data:983.24,984.09,252.90,245.65
